* Texas Instruments Data Flash File
* File created Sun Jan 30 22:26:15 2022
*
* Device Number 9E34
* Firmware Version 0.01
* Build Number 22
* Order Number 0
*
* bqz Device Number 9e34
* bqz Firmware Version 0.01
* bqz Build Number 22
*
* Field Order: Class name, Subclass name, Parameter name, Parameter Value, Display Units
"Calibration","Fet Temperature Model","Coeff b3","-2443","-"
"Calibration","Fet Temperature Model","Coeff b4","4696","-"
"Calibration","Fet Temperature Model","Rc0","11703","-"
"Calibration","Fet Temperature Model","Adc0","11703","-"
"Calibration","Fet Temperature Model","Rpad","0","-"
"Calibration","Fet Temperature Model","Rint","0","-"
"Calibration","Current Deadband","Deadband","3","mA"
"Calibration","Current Deadband","Coulomb Counter Deadband","9","116nV"
"Settings","Protection","Protection Configuration","00","hex"
"Settings","Protection","Enabled Protections A","ff","hex"
"Settings","Protection","Enabled Protections B","3f","hex"
"Settings","Protection","Enabled Protections C","d5","hex"
"Settings","Protection","Enabled Protections D","0f","hex"
"Settings","Permanent Failure","Enabled PF A","00","hex"
"Settings","Permanent Failure","Enabled PF B","00","hex"
"Settings","Permanent Failure","Enabled PF C","00","hex"
"Settings","Permanent Failure","Enabled PF D","00","hex"
"Settings","Configuration","Charging Configuration","00","hex"
"Settings","Configuration","Temperature Enable","06","hex"
"Settings","Configuration","Temperature Mode","04","hex"
"Settings","Configuration","DA Configuration","12","hex"
"Settings","Configuration","FET Options","20","hex"
"Settings","Configuration","Sbs Gauging Configuration","04","hex"
"Settings","Configuration","Sbs Configuration","20","hex"
"Settings","Configuration","Power Config","00","hex"
"Settings","Configuration","IO Config","00","hex"
"Settings","Configuration","LED Configuration","00d0","hex"
"Settings","Configuration","SOC Flag Config A","0c8c","hex"
"Settings","Configuration","SOC Flag Config B","8c","hex"
"Settings","Configuration","Balancing Configuration","01","hex"
"Settings","Configuration","CEDV Gauging Configuration","0200","hex"
"Settings","Configuration","CEDV Smoothing Config","08","hex"
"Settings","AFE","AFE Protection Control","70","hex"
"Settings","AFE","ZVCHG Exit Threshold","2200","mV"
"Settings","Fuse","PF Fuse A","00","hex"
"Settings","Fuse","PF Fuse B","00","hex"
"Settings","Fuse","PF Fuse C","00","hex"
"Settings","Fuse","PF Fuse D","00","hex"
"Settings","Fuse","Min Blow Fuse Voltage","3500","mV"
"Settings","Fuse","Fuse Blow Timeout","30","s"
"Settings","BTP","Init Discharge Set","150","mAh"
"Settings","BTP","Init Charge Set","175","mAh"
"Settings","SMBus","Address","16","-"
"Settings","SMBus","Address Check","ea","-"
"Settings","Manufacturing","Mfg Status init","0000","hex"
"Protections","CUV","Threshold","2500","mV"
"Protections","CUV","Delay","2","s"
"Protections","CUV","Recovery","3000","mV"
"Protections","COV","Threshold Low Temp","4300","mV"
"Protections","COV","Threshold Standard Temp","4300","mV"
"Protections","COV","Threshold High Temp","4300","mV"
"Protections","COV","Threshold Rec Temp","4300","mV"
"Protections","COV","Delay","2","s"
"Protections","COV","Recovery Low Temp","3900","mV"
"Protections","COV","Recovery Standard Temp","3900","mV"
"Protections","COV","Recovery High Temp","3900","mV"
"Protections","COV","Recovery Rec Temp","3900","mV"
"Protections","OCC1","Threshold","6000","mA"
"Protections","OCC1","Delay","6","s"
"Protections","OCC2","Threshold","8000","mA"
"Protections","OCC2","Delay","3","s"
"Protections","OCC","Recovery Threshold","-200","mA"
"Protections","OCC","Recovery Delay","5","s"
"Protections","OCD1","Threshold","-6000","mA"
"Protections","OCD1","Delay","6","s"
"Protections","OCD2","Threshold","-8000","mA"
"Protections","OCD2","Delay","3","s"
"Protections","OCD","Recovery Threshold","200","mA"
"Protections","OCD","Recovery Delay","5","s"
"Protections","AOLD","Latch Limit","0","-"
"Protections","AOLD","Counter Dec Delay","10","s"
"Protections","AOLD","Recovery","5","s"
"Protections","AOLD","Reset","15","s"
"Protections","AOLD","Threshold","f4","hex"
"Protections","ASCC","Latch Limit","0","-"
"Protections","ASCC","Counter Dec Delay","10","s"
"Protections","ASCC","Recovery","5","s"
"Protections","ASCC","Reset","15","s"
"Protections","ASCC","Threshold","77","hex"
"Protections","ASCD","Latch Limit","0","-"
"Protections","ASCD","Counter Dec Delay","10","s"
"Protections","ASCD","Recovery","5","s"
"Protections","ASCD","Reset","15","s"
"Protections","ASCD","Threshold 1","77","hex"
"Protections","ASCD","Threshold 2","e7","hex"
"Protections","OTC","Threshold","55.0","1°C"
"Protections","OTC","Delay","2","s"
"Protections","OTC","Recovery","50.0","1°C"
"Protections","OTD","Threshold","60.0","1°C"
"Protections","OTD","Delay","2","s"
"Protections","OTD","Recovery","55.0","1°C"
"Protections","OTF","Threshold","80.0","1°C"
"Protections","OTF","Delay","2","s"
"Protections","OTF","Recovery","65.0","1°C"
"Protections","UTC","Threshold","0.0","1°C"
"Protections","UTC","Delay","2","s"
"Protections","UTC","Recovery","5.0","1°C"
"Protections","UTD","Threshold","0.0","1°C"
"Protections","UTD","Delay","2","s"
"Protections","UTD","Recovery","5.0","1°C"
"Protections","HWD","Delay","10","s"
"Protections","PTO","Charge Threshold","2000","mA"
"Protections","PTO","Suspend Threshold","1800","mA"
"Protections","PTO","Delay","1800","s"
"Protections","PTO","Reset","2","mAh"
"Protections","CTO","Charge Threshold","2500","mA"
"Protections","CTO","Suspend Threshold","2000","mA"
"Protections","CTO","Delay","54000","s"
"Protections","CTO","Reset","2","mAh"
"Protections","OC","Threshold","300","mAh"
"Protections","OC","Recovery","2","mAh"
"Protections","OC","RSOC Recovery","90","%"
"Protections","CHGV","Threshold","500","mV"
"Protections","CHGV","Delay","30","s"
"Protections","CHGV","Recovery","-500","mV"
"Protections","CHGC","Threshold","500","mA"
"Protections","CHGC","Delay","2","s"
"Protections","CHGC","Recovery Threshold","100","mA"
"Protections","CHGC","Recovery Delay","2","s"
"Protections","PCHGC","Threshold","50","mA"
"Protections","PCHGC","Delay","2","s"
"Protections","PCHGC","Recovery Threshold","10","mA"
"Protections","PCHGC","Recovery Delay","2","s"
"Permanent Fail","SUV","Threshold","2200","mV"
"Permanent Fail","SUV","Delay","5","s"
"Permanent Fail","SOV","Threshold","4500","mV"
"Permanent Fail","SOV","Delay","5","s"
"Permanent Fail","SOCC","Threshold","10000","mA"
"Permanent Fail","SOCC","Delay","5","s"
"Permanent Fail","SOCD","Threshold","-10000","mA"
"Permanent Fail","SOCD","Delay","5","s"
"Permanent Fail","SOT","Threshold","65.0","1°C"
"Permanent Fail","SOT","Delay","5","s"
"Permanent Fail","SOTF","Threshold","100.0","1°C"
"Permanent Fail","SOTF","Delay","5","s"
"Permanent Fail","Open Thermistor","Threshold","-50.0","1°C"
"Permanent Fail","Open Thermistor","Delay","5","s"
"Permanent Fail","Open Thermistor","Fet Delta","20.0","1°C"
"Permanent Fail","Open Thermistor","Cell Delta","20.0","1°C"
"Permanent Fail","VIMR","Check Voltage","3500","mV"
"Permanent Fail","VIMR","Check Current","10","mA"
"Permanent Fail","VIMR","Delta Threshold","500","mV"
"Permanent Fail","VIMR","Delta Delay","5","s"
"Permanent Fail","VIMR","Duration","100","s"
"Permanent Fail","VIMA","Check Voltage","3700","mV"
"Permanent Fail","VIMA","Check Current","50","mA"
"Permanent Fail","VIMA","Delta Threshold","200","mV"
"Permanent Fail","VIMA","Delay","2","s"
"Permanent Fail","CFET","OFF Threshold","5","mA"
"Permanent Fail","CFET","OFF Delay","5","s"
"Permanent Fail","DFET","OFF Threshold","-5","mA"
"Permanent Fail","DFET","OFF Delay","5","s"
"Permanent Fail","FUSE","Threshold","5","mA"
"Permanent Fail","FUSE","Delay","5","s"
"Permanent Fail","AFER","Threshold","100","-"
"Permanent Fail","AFER","Delay Period","2","s"
"Permanent Fail","AFER","Compare Period","5","s"
"Permanent Fail","AFEC","Threshold","100","-"
"Permanent Fail","AFEC","Delay Period","5","s"
"Permanent Fail","2LVL","Delay","5","s"
"Permanent Fail","OPNCELL","Threshold","5000","mV"
"Permanent Fail","OPNCELL","Delay","5","s"
"Advanced Charge Algorithm","Temperature Ranges","T1 Temp","0","°C"
"Advanced Charge Algorithm","Temperature Ranges","T2 Temp","12","°C"
"Advanced Charge Algorithm","Temperature Ranges","T5 Temp","20","°C"
"Advanced Charge Algorithm","Temperature Ranges","T6 Temp","25","°C"
"Advanced Charge Algorithm","Temperature Ranges","T3 Temp","30","°C"
"Advanced Charge Algorithm","Temperature Ranges","T4 Temp","55","°C"
"Advanced Charge Algorithm","Temperature Ranges","Hysteresis Temp","1","°C"
"Advanced Charge Algorithm","Low Temp Charging","Voltage","4000","mV"
"Advanced Charge Algorithm","Low Temp Charging","Current Low","132","mA"
"Advanced Charge Algorithm","Low Temp Charging","Current Med","352","mA"
"Advanced Charge Algorithm","Low Temp Charging","Current High","264","mA"
"Advanced Charge Algorithm","Standard Temp Charging","Voltage","4200","mV"
"Advanced Charge Algorithm","Standard Temp Charging","Current Low","1980","mA"
"Advanced Charge Algorithm","Standard Temp Charging","Current Med","4004","mA"
"Advanced Charge Algorithm","Standard Temp Charging","Current High","2992","mA"
"Advanced Charge Algorithm","High Temp Charging","Voltage","4000","mV"
"Advanced Charge Algorithm","High Temp Charging","Current Low","1012","mA"
"Advanced Charge Algorithm","High Temp Charging","Current Med","1980","mA"
"Advanced Charge Algorithm","High Temp Charging","Current High","1496","mA"
"Advanced Charge Algorithm","Rec Temp Charging","Voltage","4100","mV"
"Advanced Charge Algorithm","Rec Temp Charging","Current Low","2508","mA"
"Advanced Charge Algorithm","Rec Temp Charging","Current Med","4488","mA"
"Advanced Charge Algorithm","Rec Temp Charging","Current High","3520","mA"
"Advanced Charge Algorithm","Pre-Charging","Current","88","mA"
"Advanced Charge Algorithm","Maintenance Charging","Current","44","mA"
"Advanced Charge Algorithm","Voltage Range","Precharge Start Voltage","2500","mV"
"Advanced Charge Algorithm","Voltage Range","Charging Voltage Low","2900","mV"
"Advanced Charge Algorithm","Voltage Range","Charging Voltage Med","3600","mV"
"Advanced Charge Algorithm","Voltage Range","Charging Voltage High","4000","mV"
"Advanced Charge Algorithm","Voltage Range","Charging Voltage Hysteresis","0","mV"
"Advanced Charge Algorithm","SoC Range","Charging SoC Med","50","%"
"Advanced Charge Algorithm","SoC Range","Charging SoC High","75","%"
"Advanced Charge Algorithm","SoC Range","Charging SoC Hysteresis","1","%"
"Advanced Charge Algorithm","Termination Config","Charge Term Taper Current","250","mA"
"Advanced Charge Algorithm","Termination Config","Charge Term Voltage","75","mV"
"Advanced Charge Algorithm","Charging Rate of Change","Current Rate","1","steps"
"Advanced Charge Algorithm","Charging Rate of Change","Voltage Rate","1","steps"
"Advanced Charge Algorithm","Charge Loss Compensation","CCC Current Threshold","3520","mA"
"Advanced Charge Algorithm","Charge Loss Compensation","CCC Voltage Threshold","4200","mV"
"Advanced Charge Algorithm","Cell Balancing Config","Cell Balance Threshold","3900","mV"
"Advanced Charge Algorithm","Cell Balancing Config","Cell Balance Window","100","mV"
"Advanced Charge Algorithm","Cell Balancing Config","Cell Balance Min","40","mV"
"Advanced Charge Algorithm","Cell Balancing Config","Cell Balance Interval","20","s"
"Gas Gauging","Current Thresholds","Dsg Current Threshold","100","mA"
"Gas Gauging","Current Thresholds","Chg Current Threshold","50","mA"
"Gas Gauging","Current Thresholds","Quit Current","10","mA"
"Gas Gauging","Current Thresholds","Dsg Relax Time","1","s"
"Gas Gauging","Current Thresholds","Chg Relax Time","60","s"
"Gas Gauging","Design","Design Capacity mAh","4400","mAh"
"Gas Gauging","Design","Design Capacity cWh","6336","cWh"
"Gas Gauging","Design","Design Voltage","14400","mV"
"Gas Gauging","Cycle","Cycle Count Percentage","90","%"
"Gas Gauging","FD","Set Voltage Threshold","3000","mV"
"Gas Gauging","FD","Clear Voltage Threshold","3100","mV"
"Gas Gauging","FD","Set % RSOC Threshold","0","%"
"Gas Gauging","FD","Clear % RSOC Threshold","5","%"
"Gas Gauging","FC","Set Voltage Threshold","4200","mV"
"Gas Gauging","FC","Clear Voltage Threshold","4100","mV"
"Gas Gauging","FC","Set % RSOC Threshold","100","%"
"Gas Gauging","FC","Clear % RSOC Threshold","95","%"
"Gas Gauging","TD","Set Voltage Threshold","3200","mV"
"Gas Gauging","TD","Clear Voltage Threshold","3300","mV"
"Gas Gauging","TD","Set % RSOC Threshold","6","%"
"Gas Gauging","TD","Clear % RSOC Threshold","8","%"
"Gas Gauging","TC","Set Voltage Threshold","4200","mV"
"Gas Gauging","TC","Clear Voltage Threshold","4100","mV"
"Gas Gauging","TC","Set % RSOC Threshold","100","%"
"Gas Gauging","TC","Clear % RSOC Threshold","95","%"
"Gas Gauging","State","Cycle Count","0","-"
"Gas Gauging","State","Learned Full Charge Capacity","4400","mAh"
"Gas Gauging","CEDV cfg","EMF","3743","-"
"Gas Gauging","CEDV cfg","C0","149","-"
"Gas Gauging","CEDV cfg","R0","867","-"
"Gas Gauging","CEDV cfg","T0","4030","-"
"Gas Gauging","CEDV cfg","R1","316","-"
"Gas Gauging","CEDV cfg","TC","9","-"
"Gas Gauging","CEDV cfg","C1","0","-"
"Gas Gauging","CEDV cfg","Age Factor","0","-"
"Gas Gauging","CEDV cfg","Fixed EDV 0","3031","-"
"Gas Gauging","CEDV cfg","EDV 0 Hold Time","1","s"
"Gas Gauging","CEDV cfg","Fixed EDV 1","3385","-"
"Gas Gauging","CEDV cfg","EDV 1 Hold Time","1","s"
"Gas Gauging","CEDV cfg","Fixed EDV 2","3501","-"
"Gas Gauging","CEDV cfg","EDV 2 Hold Time","1","s"
"Gas Gauging","CEDV cfg","Battery Low %","7.00","%"
"Gas Gauging","CEDV cfg","Min Delta V Filter","10","mV"
"Gas Gauging","CEDV cfg","Learning Low Temp","119","0.1°C"
"Gas Gauging","CEDV cfg","OverLoad Current","5000","mA"
"Gas Gauging","CEDV cfg","Self Discharge Rate","20","0.01%/day"
"Gas Gauging","CEDV cfg","Electronics Load","0","3uA"
"Gas Gauging","CEDV cfg","Near Full","200","mAh"
"Gas Gauging","CEDV cfg","Reserve Capacity","0","mAh"
"Gas Gauging","CEDV cfg","Chg Eff","100","%"
"Gas Gauging","CEDV cfg","Dsg Eff","100","%"
"Gas Gauging","CEDV Profile 1","Voltage 0% DOD","4173","mV"
"Gas Gauging","CEDV Profile 1","Voltage 10% DOD","4043","mV"
"Gas Gauging","CEDV Profile 1","Voltage 20% DOD","3925","mV"
"Gas Gauging","CEDV Profile 1","Voltage 30% DOD","3821","mV"
"Gas Gauging","CEDV Profile 1","Voltage 40% DOD","3725","mV"
"Gas Gauging","CEDV Profile 1","Voltage 50% DOD","3656","mV"
"Gas Gauging","CEDV Profile 1","Voltage 60% DOD","3619","mV"
"Gas Gauging","CEDV Profile 1","Voltage 70% DOD","3582","mV"
"Gas Gauging","CEDV Profile 1","Voltage 80% DOD","3515","mV"
"Gas Gauging","CEDV Profile 1","Voltage 90% DOD","3439","mV"
"Gas Gauging","CEDV Profile 1","Voltage 100% DOD","2713","mV"
"Gas Gauging","CEDV Smoothing Config","Smoothing Start Voltage","3700","mV"
"Gas Gauging","CEDV Smoothing Config","Smoothing Delta Voltage","100","mV"
"Gas Gauging","CEDV Smoothing Config","Max Smoothing Current","8000","mA"
"Gas Gauging","CEDV Smoothing Config","EOC Smooth Current","0.2","%"
"Gas Gauging","CEDV Smoothing Config","EOC Smooth Current Time","60","s"
"Power","Power","Valid Update Voltage","3500","mV"
"Power","Shutdown","Shutdown Voltage","1750","mV"
"Power","Shutdown","Shutdown Time","10","s"
"Power","Shutdown","PF Shutdown Voltage","1750","mV"
"Power","Shutdown","PF Shutdown Time","10","s"
"Power","Shutdown","Charger Present Threshold","3000","mV"
"Power","Sleep","Sleep Current","10","mA"
"Power","Sleep","Bus Timeout","5","s"
"Power","Sleep","Voltage Time","5","s"
"Power","Sleep","Current Time","20","s"
"Power","Sleep","Wake Comparator","00","hex"
"Power","Ship","FET Off Time","10","s"
"Power","Ship","Delay","20","s"
"Power","Ship","Auto Ship Time","1440","min"
"Power","Power Off","Timeout","30","min"
"Power","Manual FET Control","MFC Delay","60","s"
"PF Status","Device Status Data","Safety Alert A","00","hex"
"PF Status","Device Status Data","Safety Status A","00","hex"
"PF Status","Device Status Data","Safety Alert B","00","hex"
"PF Status","Device Status Data","Safety Status B","00","hex"
"PF Status","Device Status Data","Safety Alert C","00","hex"
"PF Status","Device Status Data","Safety Status C","00","hex"
"PF Status","Device Status Data","Safety Alert D","00","hex"
"PF Status","Device Status Data","Safety Status D","00","hex"
"PF Status","Device Status Data","PF Alert A","00","hex"
"PF Status","Device Status Data","PF Status A","00","hex"
"PF Status","Device Status Data","PF Alert B","00","hex"
"PF Status","Device Status Data","PF Status B","00","hex"
"PF Status","Device Status Data","PF Alert C","00","hex"
"PF Status","Device Status Data","PF Status C","00","hex"
"PF Status","Device Status Data","PF Alert D","00","hex"
"PF Status","Device Status Data","PF Status D","00","hex"
"PF Status","Device Status Data","Fuse Flag","0000","hex"
"PF Status","Device Status Data","Operation Status A","0000","hex"
"PF Status","Device Status Data","Operation Status B","0000","hex"
"PF Status","Device Status Data","Temp Range","00","hex"
"PF Status","Device Status Data","Charging Status A","00","hex"
"PF Status","Device Status Data","Charging Status B","00","hex"
"PF Status","Device Status Data","Gauging Status","00","hex"
"PF Status","Device Status Data","CEDV Status","00","hex"
"PF Status","Device Voltage Data","Cell 1 Voltage","0","mV"
"PF Status","Device Voltage Data","Cell 2 Voltage","0","mV"
"PF Status","Device Voltage Data","Cell 3 Voltage","0","mV"
"PF Status","Device Voltage Data","Cell 4 Voltage","0","mV"
"PF Status","Device Voltage Data","Battery Direct Voltage","0","mV"
"PF Status","Device Voltage Data","Pack Voltage","0","mV"
"PF Status","Device Current Data","Current","0","mA"
"PF Status","Device Temperature Data","Internal Temperature","-273.2","°C"
"PF Status","Device Temperature Data","External 1 Temperature","-273.2","°C"
"PF Status","Device Temperature Data","External 2 Temperature","-273.2","°C"
"PF Status","Device Temperature Data","External 3 Temperature","-273.2","°C"
"PF Status","Device Temperature Data","External 4 Temperature","-273.2","°C"
"PF Status","AFE Regs","AFE Interrupt Status","00","hex"
"PF Status","AFE Regs","AFE FET Status","00","hex"
"PF Status","AFE Regs","AFE RXIN","00","hex"
"PF Status","AFE Regs","AFE Latch Status","00","hex"
"PF Status","AFE Regs","AFE Interrupt Enable","00","hex"
"PF Status","AFE Regs","AFE FET Control","00","hex"
"PF Status","AFE Regs","AFE RXIEN","00","hex"
"PF Status","AFE Regs","AFE RLOUT","00","hex"
"PF Status","AFE Regs","AFE RHOUT","00","hex"
"PF Status","AFE Regs","AFE RHINT","00","hex"
"PF Status","AFE Regs","AFE Cell Balance","00","hex"
"PF Status","AFE Regs","AFE AD/CC Control","00","hex"
"PF Status","AFE Regs","AFE ADC Mux","00","hex"
"PF Status","AFE Regs","AFE LED Output","00","hex"
"PF Status","AFE Regs","AFE State Control","00","hex"
"PF Status","AFE Regs","AFE LED/Wake Control","00","hex"
"PF Status","AFE Regs","AFE Protection Control","00","hex"
"PF Status","AFE Regs","AFE OCD","00","hex"
"PF Status","AFE Regs","AFE SCC","00","hex"
"PF Status","AFE Regs","AFE SCD1","00","hex"
"PF Status","AFE Regs","AFE SCD2","00","hex"
"System Data","Manufacturer Data","Manufacturer Info A Length","32","-"
"System Data","Manufacturer Data","Manufacturer Info Block A01","61","Hex"
"System Data","Manufacturer Data","Manufacturer Info Block A02","62","Hex"
"System Data","Manufacturer Data","Manufacturer Info Block A03","63","Hex"
"System Data","Manufacturer Data","Manufacturer Info Block A04","64","Hex"
"System Data","Manufacturer Data","Manufacturer Info Block A05","65","Hex"
"System Data","Manufacturer Data","Manufacturer Info Block A06","66","Hex"
"System Data","Manufacturer Data","Manufacturer Info Block A07","67","Hex"
"System Data","Manufacturer Data","Manufacturer Info Block A08","68","Hex"
"System Data","Manufacturer Data","Manufacturer Info Block A09","69","Hex"
"System Data","Manufacturer Data","Manufacturer Info Block A10","6a","Hex"
"System Data","Manufacturer Data","Manufacturer Info Block A11","6b","Hex"
"System Data","Manufacturer Data","Manufacturer Info Block A12","6c","Hex"
"System Data","Manufacturer Data","Manufacturer Info Block A13","6d","Hex"
"System Data","Manufacturer Data","Manufacturer Info Block A14","6e","Hex"
"System Data","Manufacturer Data","Manufacturer Info Block A15","6f","Hex"
"System Data","Manufacturer Data","Manufacturer Info Block A16","70","Hex"
"System Data","Manufacturer Data","Manufacturer Info Block A17","71","Hex"
"System Data","Manufacturer Data","Manufacturer Info Block A18","72","Hex"
"System Data","Manufacturer Data","Manufacturer Info Block A19","73","Hex"
"System Data","Manufacturer Data","Manufacturer Info Block A20","74","Hex"
"System Data","Manufacturer Data","Manufacturer Info Block A21","75","Hex"
"System Data","Manufacturer Data","Manufacturer Info Block A22","76","Hex"
"System Data","Manufacturer Data","Manufacturer Info Block A23","77","Hex"
"System Data","Manufacturer Data","Manufacturer Info Block A24","7a","Hex"
"System Data","Manufacturer Data","Manufacturer Info Block A25","78","Hex"
"System Data","Manufacturer Data","Manufacturer Info Block A26","79","Hex"
"System Data","Manufacturer Data","Manufacturer Info Block A27","30","Hex"
"System Data","Manufacturer Data","Manufacturer Info Block A28","31","Hex"
"System Data","Manufacturer Data","Manufacturer Info Block A29","32","Hex"
"System Data","Manufacturer Data","Manufacturer Info Block A30","33","Hex"
"System Data","Manufacturer Data","Manufacturer Info Block A31","34","Hex"
"System Data","Manufacturer Data","Manufacturer Info Block A32","35","Hex"
"System Data","Manufacturer Info B","Manufacturer Info Block B01","01","Hex"
"System Data","Manufacturer Info B","Manufacturer Info Block B02","23","Hex"
"System Data","Manufacturer Info B","Manufacturer Info Block B03","45","Hex"
"System Data","Manufacturer Info B","Manufacturer Info Block B04","67","Hex"
"System Data","Integrity","Static DF Signature","0000","hex"
"System Data","Integrity","Static Chem DF Signature","6c98","hex"
"System Data","Integrity","All DF Signature","0000","hex"
"SBS Configuration","Data","Remaining AH Cap. Alarm","300","mAh"
"SBS Configuration","Data","Remaining WH Cap. Alarm","432","cWh"
"SBS Configuration","Data","Remaining Time Alarm","10","min"
"SBS Configuration","Data","Initial Battery Mode","0081","hex"
"SBS Configuration","Data","Specification Information","0031","hex"
"SBS Configuration","Data","Manufacture Date","1980-1-1","date"
"SBS Configuration","Data","Serial Number","0001","hex"
"SBS Configuration","Data","Manufacturer Name","Texas Instruments","-"
"SBS Configuration","Data","Device Name","bq4050","-"
"SBS Configuration","Data","Device Chemistry","LION","-"
"LED Support","LED Config","LED Flash Period","512","488us"
"LED Support","LED Config","LED Blink Period","1024","488us"
"LED Support","LED Config","LED Delay","100","488us"
"LED Support","LED Config","LED Hold Time","4","s"
"LED Support","LED Config","CHG Flash Alarm","10","%"
"LED Support","LED Config","CHG Thresh 1","0","%"
"LED Support","LED Config","CHG Thresh 2","20","%"
"LED Support","LED Config","CHG Thresh 3","40","%"
"LED Support","LED Config","CHG Thresh 4","60","%"
"LED Support","LED Config","CHG Thresh 5","80","%"
"LED Support","LED Config","DSG Flash Alarm","10","%"
"LED Support","LED Config","DSG Thresh 1","0","%"
"LED Support","LED Config","DSG Thresh 2","20","%"
"LED Support","LED Config","DSG Thresh 3","40","%"
"LED Support","LED Config","DSG Thresh 4","60","%"
"LED Support","LED Config","DSG Thresh 5","80","%"
"Black Box","Safety Status","1st Status Status A","00","hex"
"Black Box","Safety Status","1st Status Status B","00","hex"
"Black Box","Safety Status","1st Safety Status C","00","hex"
"Black Box","Safety Status","1st Safety Status D","00","hex"
"Black Box","Safety Status","1st Time to Next Event","0","s"
"Black Box","Safety Status","2nd Status Status A","00","hex"
"Black Box","Safety Status","2nd Status Status B","00","hex"
"Black Box","Safety Status","2nd Safety Status C","00","hex"
"Black Box","Safety Status","2nd Safety Status D","00","hex"
"Black Box","Safety Status","2nd Time to Next Event","0","s"
"Black Box","Safety Status","3rd Status Status A","00","hex"
"Black Box","Safety Status","3rd Status Status B","00","hex"
"Black Box","Safety Status","3rd Safety Status C","00","hex"
"Black Box","Safety Status","3rd Safety Status D","00","hex"
"Black Box","Safety Status","3rd Time to Next Event","0","s"
"Black Box","PF Status","1st PF Status A","00","hex"
"Black Box","PF Status","1st PF Status B","00","hex"
"Black Box","PF Status","1st PF Status C","00","hex"
"Black Box","PF Status","1st PF Status D","00","hex"
"Black Box","PF Status","1st Time to Next Event","0","s"
"Black Box","PF Status","2nd PF Status A","00","hex"
"Black Box","PF Status","2nd PF Status B","00","hex"
"Black Box","PF Status","2nd PF Status C","00","hex"
"Black Box","PF Status","2nd PF Status D","00","hex"
"Black Box","PF Status","2nd Time to Next Event","0","s"
"Black Box","PF Status","3rd PF Status A","00","hex"
"Black Box","PF Status","3rd PF Status B","00","hex"
"Black Box","PF Status","3rd PF Status C","00","hex"
"Black Box","PF Status","3rd PF Status D","00","hex"
"Black Box","PF Status","3rd Time to Next Event","0","s"
"Lifetimes","Voltage","Cell 1 Max Voltage","0","mV"
"Lifetimes","Voltage","Cell 2 Max Voltage","0","mV"
"Lifetimes","Voltage","Cell 3 Max Voltage","0","mV"
"Lifetimes","Voltage","Cell 4 Max Voltage","0","mV"
"Lifetimes","Voltage","Cell 1 Min Voltage","32767","mV"
"Lifetimes","Voltage","Cell 2 Min Voltage","32767","mV"
"Lifetimes","Voltage","Cell 3 Min Voltage","32767","mV"
